year_month,destination_region,origin_region,arriving_passengers
2005-03,Central-West,Northeast,60942
2005-03,Central-West,South,23019
2005-03,Central-West,Southeast,194353
2005-03,North,Central-West,44824
2005-03,North,North,93557
2005-03,North,Northeast,10687
2005-03,North,South,167
2005-03,North,Southeast,24681
2005-03,Northeast,Central-West,59609
2005-03,Northeast,North,10522
2005-03,Northeast,Northeast,207151
2005-03,Northeast,South,6827
2005-03,Northeast,Southeast,214939
2005-03,South,Central-West,25408
2005-03,South,North,294
2005-03,South,Northeast,7404
2005-03,South,South,108573
2005-03,South,Southeast,277969
2005-03,Southeast,Central-West,195063
2005-03,Southeast,North,24822
2005-03,Southeast,Northeast,225525
2005-03,Southeast,South,289105
2005-03,Southeast,Southeast,831828
2005-04,Central-West,Central-West,68659
2005-04,Central-West,North,45098
2005-04,Central-West,Northeast,57649
2005-04,Central-West,South,22133
2005-04,Central-West,Southeast,193583
2005-04,North,Central-West,45257
2005-04,North,North,92054
2005-04,North,Northeast,9837
2005-04,North,South,89
2005-04,North,Southeast,24336
2005-04,Northeast,Central-West,57261
2005-04,Northeast,North,10290
2005-04,Northeast,Northeast,201959
2005-04,Northeast,South,6502
2005-04,Northeast,Southeast,210811
2005-04,South,Central-West,23710
2005-04,South,North,295
2005-04,South,Northeast,6186
2005-04,South,South,103575
2005-04,South,Southeast,271627
2005-04,Southeast,Central-West,197207
2005-04,Southeast,North,24743
2005-04,Southeast,Northeast,214502
2005-04,Southeast,South,284101
2005-04,Southeast,Southeast,820393
2005-05,Central-West,Central-West,73028
2005-05,Central-West,North,50091
2005-05,Central-West,Northeast,61878
2005-05,Central-West,South,26411
2005-05,Central-West,Southeast,209238
2005-05,North,Central-West,50044
2005-05,North,North,95912
2005-05,North,Northeast,9156
2005-05,North,South,216
2005-05,North,Southeast,26752
2005-05,Northeast,Central-West,61374
2005-05,Northeast,North,9572
2005-05,Northeast,Northeast,200979
2005-05,Northeast,South,6257
2005-05,Northeast,Southeast,207877
2005-05,South,Central-West,26336
2005-05,South,North,292
2005-05,South,Northeast,6073
2005-05,South,South,107330
2005-05,South,Southeast,288661
2005-05,Southeast,Central-West,208257
2005-05,Southeast,North,27601
2005-05,Southeast,Northeast,215399
2005-05,Southeast,South,298309
2005-05,Southeast,Southeast,859880
2005-06,Central-West,Central-West,65646
2005-06,Central-West,North,50899
2005-06,Central-West,Northeast,58533
2005-06,Central-West,South,23432
2005-06,Central-West,Southeast,203351
2005-06,North,Central-West,52407
2005-06,North,North,106821
2005-06,North,Northeast,8830
2005-06,North,South,169
2005-06,North,Southeast,27448
2005-06,Northeast,Central-West,61194
2005-06,Northeast,North,10265
2005-06,Northeast,Northeast,189403
2005-06,Northeast,South,6318
2005-06,Northeast,Southeast,217855
2005-06,South,Central-West,23781
2005-06,South,North,424
2005-06,South,Northeast,5940
2005-06,South,South,95190
2005-06,South,Southeast,261408
2005-06,Southeast,Central-West,199723
2005-06,Southeast,North,28194
2005-06,Southeast,Northeast,204470
2005-06,Southeast,South,268192
2005-06,Southeast,Southeast,845329
2005-07,Central-West,Central-West,76446
2005-07,Central-West,North,62160
2005-07,Central-West,Northeast,81257
2005-07,Central-West,South,29219
2005-07,Central-West,Southeast,246309
2005-07,North,Central-West,64273
2005-07,North,North,124153
2005-07,North,Northeast,14215
2005-07,North,South,158
2005-07,North,Southeast,37298
2005-07,Northeast,Central-West,85221
2005-07,Northeast,North,14210
2005-07,Northeast,Northeast,243094
2005-07,Northeast,South,9439
2005-07,Northeast,Southeast,336485
2005-07,South,Central-West,29915
2005-07,South,North,458
2005-07,South,Northeast,9472
2005-07,South,South,109086
2005-07,South,Southeast,331069
2005-07,Southeast,Central-West,248228
2005-07,Southeast,North,38594
2005-07,Southeast,Northeast,318280
2005-07,Southeast,South,341726
2005-07,Southeast,Southeast,918787
2005-08,Central-West,Central-West,69222
2005-08,Central-West,North,53459
2005-08,Central-West,Northeast,68727
2005-08,Central-West,South,23744
2005-08,Central-West,Southeast,226687
2005-08,North,Central-West,52076
2005-08,North,North,111633
2005-08,North,Northeast,14548
2005-08,North,South,69
2005-08,North,Southeast,30060
2005-08,Northeast,Central-West,63697
2005-08,Northeast,North,14043
2005-08,Northeast,Northeast,226117
2005-08,Northeast,South,6855
2005-08,Northeast,Southeast,235741
2005-08,South,Central-West,25260
2005-08,South,North,500
2005-08,South,Northeast,7076
2005-08,South,South,98400
2005-08,South,Southeast,296332
2005-08,Southeast,Central-West,212313
2005-08,Southeast,North,31664
2005-08,Southeast,Northeast,252214
2005-08,Southeast,South,297169
2005-08,Southeast,Southeast,887317
2005-09,Central-West,Central-West,74964
2005-09,Central-West,North,52523
2005-09,Central-West,Northeast,67991
2005-09,Central-West,South,23775
2005-09,Central-West,Southeast,234181
2005-09,North,Central-West,53066
2005-09,North,North,99810
2005-09,North,Northeast,13110
2005-09,North,South,59
2005-09,North,Southeast,28516
2005-09,Northeast,Central-West,69826
2005-09,Northeast,North,12982
2005-09,Northeast,Northeast,234829
2005-09,Northeast,South,7541
2005-09,Northeast,Southeast,259052
2005-09,South,Central-West,26543
2005-09,South,North,292
2005-09,South,Northeast,7653
2005-09,South,South,102021
2005-09,South,Southeast,305516
2005-09,Southeast,Central-West,237591
2005-09,Southeast,North,28133
2005-09,Southeast,Northeast,250439
2005-09,Southeast,South,307415
2005-09,Southeast,Southeast,879447
2005-10,Central-West,Central-West,71194
2005-10,Central-West,North,55744
2005-10,Central-West,Northeast,72790
2005-10,Central-West,South,24670
2005-10,Central-West,Southeast,243009
2005-10,North,Central-West,54835
2005-10,North,North,113191
2005-10,North,Northeast,13482
2005-10,North,South,33
2005-10,North,Southeast,31477
2005-10,Northeast,Central-West,71464
2005-10,Northeast,North,14001
2005-10,Northeast,Northeast,238045
2005-10,Northeast,South,7679
2005-10,Northeast,Southeast,300145
2005-10,South,Central-West,25377
2005-10,South,North,144
2005-10,South,Northeast,8173
2005-10,South,South,109659
2005-10,South,Southeast,324061
2005-10,Southeast,Central-West,244056
2005-10,Southeast,North,32440
2005-10,Southeast,Northeast,302570
2005-10,Southeast,South,323454
2005-10,Southeast,Southeast,905241
2005-11,Central-West,Central-West,61967
2005-11,Central-West,North,52117
2005-11,Central-West,Northeast,66353
2005-11,Central-West,South,21684
2005-11,Central-West,Southeast,217046
2005-11,North,Central-West,50290
2005-11,North,North,103839
2005-11,North,Northeast,12288
2005-11,North,South,15
2005-11,North,Southeast,29659
2005-11,Northeast,Central-West,64673
2005-11,Northeast,North,12572
2005-11,Northeast,Northeast,219554
2005-11,Northeast,South,6986
2005-11,Northeast,Southeast,247220
2005-11,South,Central-West,22329
2005-11,South,North,57
